mode,tag,seed,train_datasets,test_dataset,n_train,n_test,attn_proxy_text,attn_proxy_egemap,attn_proxy_deep,accuracy,f1_weighted,f1_macro,auc_roc,brier_score,mcc,sensitivity,specificity,precision_dem,precision_ctrl
acoustic_egemaps,P->T,42,['pitt'],taukadial,495,102,,,,0.5588235294117647,0.4853730966070639,0.4522019334049409,0.5634796238244515,0.248161032795906,0.0232783919756554,0.8793103448275862,0.1363636363636363,0.5730337078651685,0.4615384615384615
acoustic_egemaps,P->T,43,['pitt'],taukadial,495,102,,,,0.5294117647058824,0.4222433912836389,0.3805668016194332,0.6330329153605015,0.2497675716876983,-0.1068347308128946,0.896551724137931,0.0454545454545454,0.5531914893617021,0.25
acoustic_egemaps,P->T,44,['pitt'],taukadial,495,102,,,,0.6372549019607843,0.5768623238769192,0.5495882563551737,0.707680250783699,0.232604518532753,0.2607179901273406,0.9482758620689656,0.2272727272727272,0.6179775280898876,0.7692307692307693
acoustic_w2v,P->T,42,['pitt'],taukadial,495,102,,,,0.4607843137254901,0.4600068230695143,0.4607324810150918,0.5399686520376175,0.3685261309146881,-0.0581649215613827,0.396551724137931,0.5454545454545454,0.5348837209302325,0.4067796610169492
acoustic_w2v,P->T,43,['pitt'],taukadial,495,102,,,,0.5196078431372549,0.5216906687523261,0.5184507177955486,0.4917711598746082,0.3042870461940765,0.0450590135131508,0.5,0.5454545454545454,0.5918367346938775,0.4528301886792453
acoustic_w2v,P->T,44,['pitt'],taukadial,495,102,,,,0.4705882352941176,0.4582572159298502,0.4654503105590062,0.515282131661442,0.4153162240982055,-0.0139973127738963,0.3275862068965517,0.6590909090909091,0.5588235294117647,0.4264705882352941
acoustic_hubert,P->T,42,['pitt'],taukadial,495,102,,,,0.4607843137254901,0.4581388110799875,0.4603174603174603,0.4890282131661442,0.4198954403400421,-0.0530405009855488,0.3793103448275862,0.5681818181818182,0.5365853658536586,0.4098360655737705
acoustic_hubert,P->T,43,['pitt'],taukadial,495,102,,,,0.4901960784313725,0.4811511701454775,0.4653225806451613,0.4457288401253918,0.4217264056205749,-0.0633521043313242,0.6206896551724138,0.3181818181818182,0.5454545454545454,0.3888888888888889
acoustic_hubert,P->T,44,['pitt'],taukadial,495,102,,,,0.4215686274509804,0.3914318668643928,0.4050420168067227,0.5058777429467085,0.4399690330028534,-0.1055743443286527,0.2241379310344827,0.6818181818181818,0.4814814814814814,0.4
interaction_only,P->T,42,['pitt'],taukadial,495,102,,,,0.5784313725490197,0.5665762367939302,0.5514878821965437,0.5952194357366771,0.2763500511646271,0.1169842130685886,0.7241379310344828,0.3863636363636363,0.6086956521739131,0.5151515151515151
interaction_only,P->T,43,['pitt'],taukadial,495,102,,,,0.6078431372549019,0.6093654853245646,0.6040372670807453,0.5960031347962382,0.3649384081363678,0.2099596916084453,0.6206896551724138,0.5909090909090909,0.6666666666666666,0.5416666666666666
interaction_only,P->T,44,['pitt'],taukadial,495,102,,,,0.5784313725490197,0.5631372549019608,0.5466666666666666,0.6077586206896551,0.3798630237579345,0.1130796453445896,0.7413793103448276,0.3636363636363636,0.6056338028169014,0.5161290322580645
fusion_gated,P->T,42,['pitt'],taukadial,495,102,0.6460439562797546,0.0769464150071144,0.2770093977451324,0.5784313725490197,0.5500552555966026,0.52914653784219,0.5842476489028214,0.3011620640754699,0.1019653788533773,0.7931034482758621,0.2954545454545454,0.5974025974025974,0.52
fusion_gated,P->T,43,['pitt'],taukadial,495,102,0.5395268797874451,0.0358587205410003,0.4246142506599426,0.5686274509803921,0.565546218487395,0.5547619047619048,0.6234326018808778,0.328969657421112,0.1112991521262886,0.6551724137931034,0.4545454545454545,0.6129032258064516,0.5
fusion_gated,P->T,44,['pitt'],taukadial,495,102,0.815053403377533,0.0387576557695865,0.1461890339851379,0.6078431372549019,0.5737425404944586,0.552042160737813,0.6240203761755485,0.3580175638198852,0.1689220556115847,0.8448275862068966,0.2954545454545454,0.6125,0.5909090909090909
fusion_attn,P->T,42,['pitt'],taukadial,495,102,0.5412439703941345,0.2308275550603866,0.2279285788536071,0.5980392156862745,0.5601788252655794,0.5371333702268954,0.615203761755486,0.387393981218338,0.1439888167652926,0.8448275862068966,0.2727272727272727,0.6049382716049383,0.5714285714285714
fusion_attn,P->T,43,['pitt'],taukadial,495,102,0.5043696761131287,0.2414393723011016,0.2541910409927368,0.5882352941176471,0.5901416122004358,0.5868055555555556,0.6269592476489029,0.3729247748851776,0.1809084729157348,0.5689655172413793,0.6136363636363636,0.66,0.5192307692307693
